CLIENTNUM,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Credit_Limit_Log,Attrition_Flag,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Education_Level_scaled,Income_Category_scaled,Card_Category_scaled,Gender_scaled
768805383,-0.09090909090909091,0.5,0.3333333333333333,0.5,-1.0,1.0,0.9564757709251102,-0.35017543859649125,0.9889272950963736,2.6271929824561404,-1.0655579191645717,-0.6944444444444444,3.911016949152543,-0.23958333333333331,0.6998725679150798,0,0.0,1.0,0.0,-0.3333333333333333,0.5,0.0,1.0
818770008,0.2727272727272727,1.5,0.8888888888888888,1.0,-1.0,0.0,0.4354772393538913,-0.28912280701754384,0.45907786044876675,3.530701754385965,-1.0087023786501643,-0.9444444444444444,6.559322033898305,-0.14791666666666667,0.40658170169853175,0,0.0,0.0,1.0,0.3333333333333333,-0.5,0.0,0.0
713982108,0.45454545454545453,0.5,0.0,0.0,-1.0,-2.0,-0.13286343612334803,-0.895438596491228,-0.0065616029058527155,6.640350877192983,-0.7781860375169213,-1.3055555555555556,6.559322033898305,-0.36666666666666664,-0.19499284770002911,0,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,1.0
769911858,-0.5454545454545454,1.0,-0.2222222222222222,-0.5,2.0,-1.0,-0.14519823788546254,0.8708771929824561,-0.3137852246763138,2.93421052631579,-1.0551150647843743,-1.3055555555555556,6.559322033898305,1.2166666666666668,-0.21627681677697827,0,0.0,0.0,0.0,-0.3333333333333333,-0.5,0.0,0.0
709106358,-0.5454545454545454,0.5,-1.6666666666666667,0.5,-1.0,-2.0,0.01961820851688693,-0.895438596491228,0.1455269787333763,6.31140350877193,-1.1924192612647457,-1.0833333333333333,6.559322033898305,-0.36666666666666664,0.024593807356292786,0,0.0,1.0,0.0,-0.6666666666666666,0.5,0.0,1.0
713061558,-0.18181818181818182,0.0,0.0,-0.5,-1.0,0.0,-0.06331864904552129,-0.020350877192982456,-0.08330892260823715,2.807017543859649,-1.0872171726938697,-1.1944444444444444,0.6101694915254239,0.28125000000000006,-0.0860297214168307,0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.0
810347208,0.45454545454545453,1.0,1.1111111111111112,1.0,-1.0,1.0,3.520352422907489,0.6933333333333334,3.371960864725526,5.43421052631579,-0.9936182556565462,-1.0,0.08474576271186449,-0.22916666666666666,1.3823805849931232,0,0.0,1.0,0.0,-1.0,1.5,2.0,1.0
818906208,-1.2727272727272727,-1.0,-1.0,-1.0,0.0,0.0,2.8818795888399413,0.08421052631578947,2.8368387134571447,6.438596491228072,-0.9131695996905821,-0.8611111111111112,0.05084745762711869,-0.26666666666666666,1.2655029980013055,0,0.0,0.0,0.0,-0.3333333333333333,0.5,1.0,1.0
710930508,-0.8181818181818182,0.5,0.0,0.5,0.0,-2.0,2.091395007342144,0.8708771929824561,1.9170425918331477,6.640350877192983,-0.9858828079675112,-1.1944444444444444,2.0338983050847457,-0.13124999999999998,1.0859830119160454,0,0.0,0.0,1.0,-0.6666666666666666,0.5,0.0,1.0
719661558,0.18181818181818182,0.0,0.0,1.0,1.0,1.0,0.8348898678414097,0.2814035087719298,0.7622004804030699,3.4561403508771935,-0.9506865209824018,-0.9722222222222222,0.76271186440678,-0.06666666666666667,0.6418409888956881,0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0
